rep,method,k,n,h,value
12,LP0,1,200,0.06999999999999999,3.7758447468881218
12,LP1,1,200,0.06999999999999999,330.44879916752774
12,SPARR,1,200,0.06999999999999999,1.5467533213964177
12,LP0,1,200,0.09,5.259027273791379
12,LP1,1,200,0.09,54.10202998206129
12,SPARR,1,200,0.09,3.1086277859401936
12,LP0,1,200,0.11,0.0600057655153722
12,LP1,1,200,0.11,0.2850057782076698
12,SPARR,1,200,0.11,4.841294952123361
12,LP0,1,200,0.13,0.4679265949661295
12,LP1,1,200,0.13,0.051416974537549676
12,SPARR,1,200,0.13,6.47109418020576
12,LP0,1,200,0.15000000000000002,2.376384064809901
12,LP1,1,200,0.15000000000000002,3.204882032978622
12,SPARR,1,200,0.15000000000000002,7.933577960166463
12,LP0,1,200,0.17,4.683582265965364
12,LP1,1,200,0.17,5.4693506747508405
12,SPARR,1,200,0.17,9.275862215439203
12,LP0,1,200,0.19,6.944982619965541
12,LP1,1,200,0.19,4.08693151226958
12,SPARR,1,200,0.19,10.550723608738886
12,LP0,1,200,0.21000000000000002,7.729324524102318
12,LP1,1,200,0.21000000000000002,1.6092260602893322
12,SPARR,1,200,0.21000000000000002,11.783981803033251
12,LP0,1,200,0.23,8.562236424698348
12,LP1,1,200,0.23,0.3332916946349262
12,SPARR,1,200,0.23,12.975794971334844
12,LP0,1,200,0.25,10.400548052004032
12,LP1,1,200,0.25,0.25915852446287796
12,SPARR,1,200,0.25,14.109919068024876
13,LP0,1,200,0.01,34.90191809561218
13,LP1,1,200,0.01,34.90191809561218
13,SPARR,1,200,0.01,17.429416160712478
13,LP0,1,200,0.03,20.235705502138977
13,LP1,1,200,0.03,319.63237771631555
13,SPARR,1,200,0.03,2.3365929132875194
13,LP0,1,200,0.05,4.273468023609417
13,LP1,1,200,0.05,19.24737785493157
13,SPARR,1,200,0.05,5.094046591866699
13,LP0,1,200,0.06999999999999999,3.7758447468881218
13,LP1,1,200,0.06999999999999999,3.6814100431633467
13,SPARR,1,200,0.06999999999999999,6.302064845622502
13,LP0,1,200,0.09,5.259027273791379
13,LP1,1,200,0.09,0.013828769869291933
13,SPARR,1,200,0.09,5.8912297266359674
13,LP0,1,200,0.11,7.138970653329821
13,LP1,1,200,0.11,0.1643921825241405
13,SPARR,1,200,0.11,5.3296398764321875
13,LP0,1,200,0.13,9.034296710075072
13,LP1,1,200,0.13,0.0652483769319495
13,SPARR,1,200,0.13,5.227120537238534
13,LP0,1,200,0.15000000000000002,10.811241925111617
13,LP1,1,200,0.15000000000000002,0.5021277863481043
13,SPARR,1,200,0.15000000000000002,5.584225014820699
13,LP0,1,200,0.17,4.683582265965364
13,LP1,1,200,0.17,13.178307790417913
13,SPARR,1,200,0.17,6.290533059156956
13,LP0,1,200,0.19,3.3022911924368
13,LP1,1,200,0.19,18.353901495779834
13,SPARR,1,200,0.19,7.245905542761018
13,LP0,1,200,0.21000000000000002,2.072904399514933
13,LP1,1,200,0.21000000000000002,22.590739397538247
13,SPARR,1,200,0.21000000000000002,8.367781659024875
13,LP0,1,200,0.23,1.5598741811342418
13,LP1,1,200,0.23,21.561612178126698
13,SPARR,1,200,0.23,9.583531353587402
13,LP0,1,200,0.25,3.25688455619079
13,LP1,1,200,0.25,6.318296212150993
13,SPARR,1,200,0.25,10.827085973807126
14,LP0,1,200,0.01,34.90191809561218
14,LP1,1,200,0.01,34.90191809561218
14,SPARR,1,200,0.01,34.901915417404005
14,LP0,1,200,0.03,34.90191809561218
14,LP1,1,200,0.03,34.90191809561218
14,SPARR,1,200,0.03,23.181863426476433
